kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten,nama_lengkap,path_gambar,deskripsi_bersih
mall,Paris Van Java Mall,-6.8890732,107.5960928,"Paris Van Java, Jalan Karang Tinggal, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia",Jawa Barat,Kota Bandung,"Paris Van Java Mall, Kota Bandung, Jawa Barat",gambar_wisata/Paris_Van_Java_Mall,"Paris Van Java Resort Lifestyle Place (Aksara Sunda Baku:        ) adalah sebuah pusat perbelanjaan yang terletak di Kota Bandung, Jawa Barat. Mal ini bisa dicapai beberapa jam dengan mengemudi dari Jalan Tol Purbaleunyi melalui gerbang tol Pasteur di Kecamatan Sukajadi."
mall,PIK Avenue,-6.1091097,106.7404406,"PIK Avenue, Jalan Marina Indah, RW 06, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, 14470, Indonesia",,Daerah Khusus ibukota Jakarta,"PIK Avenue, Daerah Khusus ibukota Jakarta, nan",gambar_wisata/PIK_Avenue,Deskripsi tidak ditemukan
mall,Plaza Ambarrukmo Yogyakarta,-7.7817669,110.4013176,"Plaza Ambarrukmo, Jalan Laksda Adisucipto, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55281, Indonesia",Daerah Istimewa Yogyakarta,Sleman,"Plaza Ambarrukmo Yogyakarta, Sleman, Daerah Istimewa Yogyakarta",gambar_wisata/Plaza_Ambarrukmo_Yogyakarta,"Daerah Istimewa Yogyakarta, disingkat DI Yogyakarta atau DIY adalah daerah Istimewa setingkat provinsi di Indonesia yang merupakan peleburan dari Negara Kesultanan Yogyakarta dan Negara Kadipaten Paku Alaman dengan ibu kota di Kota Yogyakarta. Daerah Istimewa Yogyakarta terletak di bagian selatan Pulau Jawa, dan berbatasan dengan Provinsi Jawa Tengah dan Samudra Hindia."
mall,Plaza Balikpapan,-1.2781938,116.8398348,"The Plaza Balikpapan, Jalan Jenderal Sudirman, Klandasan Ilir, Balikpapan Kota, Balikpapan, Kalimantan Timur, Kalimantan, 76121, Indonesia",Kalimantan Timur,Balikpapan,"Plaza Balikpapan, Balikpapan, Kalimantan Timur",gambar_wisata/Plaza_Balikpapan,"Plaza Balikpapan adalah pusat perbelanjaan yang ada di Balikpapan. Didirikan pada tahun 1992, Plaza Balikpapan merupakan mal pertama yang ada di Balikpapan."
mall,Plaza Indonesia,-6.1934835,106.8228616,"Plaza Indonesia, Jalan Mohammad Husni Thamrin, RW 05, Gondangdia, Menteng, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10350, Indonesia",,Daerah Khusus ibukota Jakarta,"Plaza Indonesia, Daerah Khusus ibukota Jakarta, nan",gambar_wisata/Plaza_Indonesia,"Kabupaten Bungo adalah kabupaten di provinsi Jambi, Indonesia. Kabupaten ini adalah hasil dari pemekaran kabupaten Bungo Tebo, pada tanggal 12 Oktober 1999."
mall,Plaza Palu,-0.8317762,119.8800634,"Baywalk Citraland Palu, Iradatpuri, Kecamatan Mantikulore, Palu, Sulawesi Tengah, Sulawesi, 94119, Indonesia",Sulawesi Tengah,Palu,"Plaza Palu, Palu, Sulawesi Tengah",gambar_wisata/Plaza_Palu,"Kota Palu adalah sebuah kota yang terletak di tepi laut dan sekaligus Ibukota dari provinsi Sulawesi Tengah, Indonesia. Palu merupakan kota yang terletak di Sulawesi Tengah, berbatasan dengan Kabupaten Donggala di sebelah barat dan utara, Kabupaten Sigi di sebelah selatan, dan Kabupaten Parigi Moutong di sebelah timur."
mall,Plaza Renon,-8.6730243,115.2441066,"Plaza Renon, Raya Puputan, Denpasar Timur, Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ, Bali, Nusa Tenggara, 80235, Indonesia",Bali,Denpasar ,"Plaza Renon, Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ, Bali",gambar_wisata/Plaza_Renon,Deskripsi tidak ditemukan
mall,Pluit Village,-6.1162602,106.789693,"WonderMind Pluit Village, Jalan Pluit Indah Raya, RW 04, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, 14450, Indonesia",,Daerah Khusus ibukota Jakarta,"Pluit Village, Daerah Khusus ibukota Jakarta, nan",gambar_wisata/Pluit_Village,Deskripsi tidak ditemukan
mall,Pondok Indah Mall,-6.2653276,106.7846567,"Pondok Indah Mall 1, Jalan Metro Pondok Indah, RW 03, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, 12310, Indonesia",,Daerah Khusus ibukota Jakarta,"Pondok Indah Mall, Daerah Khusus ibukota Jakarta, nan",gambar_wisata/Pondok_Indah_Mall,"Kota Tegal (bahasa Jawa: Hanacaraka:  , Pegon  , Hanzi:  , Belanda: Tagal) adalah sebuah satu kota di Provinsi Jawa Tengah, Indonesia. Kota ini pernah menjadi cikal-bakal berdirinya Korps Marinir seperti tercatat dalam Pangkalan IV ALRI Tegal dengan nama Corps Mariniers, pada 15 November 1945."
mall,Royal Plaza Surabaya,-7.3091349,112.7342835,"Royal Plaza, 16-18, Jalan Jenderal Achmad Yani, RW 04, Wonokromo, Surabaya, Jawa Timur, Jawa, 60231, Indonesia",Jawa Timur,Surabaya,"Royal Plaza Surabaya, Surabaya, Jawa Timur",gambar_wisata/Royal_Plaza_Surabaya,"Kota Surabaya (bahasa Jawa: Hanacaraka:  , Pegon:    , translit. Kuth  Sur b y ; pengucapan bahasa Jawa: [ku  sur b j ]; pelafalan dalam bahasa Indonesia: [sura baja] ) adalah ibu kota Provinsi Jawa Timur yang menjadi pusat pemerintahan dan perekonomian sekaligus kota terbesar di provinsi tersebut."
